"","turtle.id","year","magnetic.field","field.type","mean.duration"
"1","L153","2017 - 4 month tests","Mexico","rewarded field",16.5
"2","L153","2017 - 4 month tests","New Hampshire, USA","unrewarded field",4.4
"3","L154","2017 - 4 month tests","New Hampshire, USA","unrewarded field",6.76
"4","L154","2017 - 4 month tests","Mexico","rewarded field",9.91
"5","L155","2017 - 4 month tests","New Hampshire, USA","rewarded field",62.73
"6","L155","2017 - 4 month tests","Mexico","unrewarded field",40.64
"7","L156","2017 - 4 month tests","Mexico","rewarded field",88.43
"8","L156","2017 - 4 month tests","New Hampshire, USA","unrewarded field",25.22
"9","L157","2017 - 4 month tests","Mexico","unrewarded field",34.18
"10","L157","2017 - 4 month tests","New Hampshire, USA","rewarded field",20.75
"11","L158","2017 - 4 month tests","New Hampshire, USA","rewarded field",47.87
"12","L158","2017 - 4 month tests","Mexico","unrewarded field",15.62
"13","L159","2017 - 4 month tests","New Hampshire, USA","unrewarded field",8.26
"14","L159","2017 - 4 month tests","Mexico","rewarded field",0.85
"15","L160","2017 - 4 month tests","Mexico","unrewarded field",9.78
"16","L160","2017 - 4 month tests","New Hampshire, USA","rewarded field",33.4
"17","L161","2017 - 4 month tests","Mexico","rewarded field",10.41
"18","L161","2017 - 4 month tests","New Hampshire, USA","unrewarded field",14.21
"19","L162","2017 - 4 month tests","New Hampshire, USA","unrewarded field",12.26
"20","L162","2017 - 4 month tests","Mexico","rewarded field",24.68
"21","L163","2017 - 4 month tests","New Hampshire, USA","rewarded field",21.88
"22","L163","2017 - 4 month tests","Mexico","unrewarded field",12.1
"23","L164","2017 - 4 month tests","Mexico","unrewarded field",9.63
"24","L164","2017 - 4 month tests","New Hampshire, USA","rewarded field",21.87
"25","L165","2017 - 4 month tests","Mexico","rewarded field",9.91
"26","L165","2017 - 4 month tests","New Hampshire, USA","unrewarded field",7.31
"27","L166","2017 - 4 month tests","New Hampshire, USA","rewarded field",5.61
"28","L166","2017 - 4 month tests","Mexico","unrewarded field",5.05
"29","L167","2017 - 4 month tests","New Hampshire, USA","unrewarded field",8.21
"30","L167","2017 - 4 month tests","Mexico","rewarded field",28.07
"31","L168","2017 - 4 month tests","Mexico","unrewarded field",5.21
"32","L168","2017 - 4 month tests","New Hampshire, USA","rewarded field",9.5
