,turtle.id,year,percent.change,rewarded.field
1,L153,2017,471.6650438,Mexico
2,L154,2017,-21.55883088,Mexico
3,L155,2017,86.75752121,"New Hampshire, USA"
4,L156,2017,408.9201878,Mexico
5,L157,2017,10.38706516,"New Hampshire, USA"
6,L158,2017,386.4574732,"New Hampshire, USA"
7,L159,2017,1425.416667,Mexico
8,L160,2017,91.11264209,"New Hampshire, USA"
9,L161,2017,-24.13488441,Mexico
10,L162,2017,1660.714286,Mexico
11,L163,2017,-30.7032967,"New Hampshire, USA"
12,L164,2017,1016.755319,"New Hampshire, USA"
13,L165,2017,953.6842105,Mexico
14,L166,2017,555.3376906,"New Hampshire, USA"
15,L167,2017,198.0670927,Mexico
16,L168,2017,92.53322909,"New Hampshire, USA"
17,L169,2018,-11.89979123,Cuba
18,L170,2018,-34.18181818,"Delaware, USA"
19,L171,2018,82.24348751,Cuba
20,L172,2018,258.4227468,Cuba
21,L173,2018,302.354187,"Delaware, USA"
22,L174,2018,-77.08591435,"Delaware, USA"
23,L175,2018,12.79145078,Cuba
24,L176,2018,-9.120258273,"Delaware, USA"
25,L177,2018,75.23725168,"Delaware, USA"
26,L178,2018,125.8298755,Cuba
27,L179,2018,48.69067103,"Delaware, USA"
28,L180,2018,1324.834823,Cuba
29,L181,2018,24.31610942,Cuba
30,L182,2018,51.34480252,Cuba
31,L183,2018,67.6335175,"Delaware, USA"
32,L184,2018,279.4056669,"Delaware, USA"
33,L185,2019,124.7374562,"Maine, USA"
34,L186,2019,6.662456584,"Maine, USA"
35,L187,2019,54.33987363,"Maine, USA"
36,L188,2019,172.5274725,"Maine, USA"
37,L189,2019,-15.4209284,"Maine, USA"
38,L190,2019,29.10262766,"Maine, USA"
39,L191,2019,322.8779305,"Maine, USA"
40,L192,2019,84.29633181,"Maine, USA"
41,L193,2019,76.57198014,"Maine, USA"
42,L194,2019,-35.26292532,"Maine, USA"
43,L195,2019,181.1953353,"Maine, USA"
44,L196,2019,86.87392055,"Maine, USA"
45,L197,2019,84.07142857,"Maine, USA"
46,L198,2019,108.4140116,"Maine, USA"
47,L199,2019,-7.168141593,"Maine, USA"
48,L200,2019,-20.96810676,"Maine, USA"
49,L201,2020_fall,33.87190967,Turks & Caicos
50,L202,2020_fall,78.25776312,Haiti
51,L203,2020_fall,32.09429236,Turks & Caicos
52,L204,2020_fall,335.165347,Haiti
53,L205,2020_fall,92.69634817,Turks & Caicos
54,L206,2020_fall,204.7705471,Turks & Caicos
55,L207,2020_fall,-73.0990346,Haiti
56,L208,2020_fall,178.7619962,Turks & Caicos
57,L209,2020_fall,26.33865815,Haiti
58,L211,2020_fall,125.7409568,Haiti
59,L212,2020_fall,42.08226221,Turks & Caicos
60,L213,2020_fall,161.0055866,Haiti
61,L214,2020_fall,55.49295775,Turks & Caicos
62,L216,2020_fall,97.58648431,Turks & Caicos
63,L185,2020_spr,92.75053305,"Newfoundland,Canada"
64,L186,2020_spr,60.12810248,"Virginia, USA"
65,L187,2020_spr,53.0416222,"Virginia, USA"
66,L188,2020_spr,-23.30339321,"Newfoundland,Canada"
67,L189,2020_spr,-39.85720286,"Newfoundland,Canada"
68,L190,2020_spr,-10.10452962,"Newfoundland,Canada"
69,L191,2020_spr,448.6666667,"Virginia, USA"
70,L192,2020_spr,34.44357367,"Newfoundland,Canada"
71,L193,2020_spr,47.10679612,"Newfoundland,Canada"
72,L194,2020_spr,-4.482417038,"Newfoundland,Canada"
73,L195,2020_spr,122.5606317,"Virginia, USA"
74,L196,2020_spr,485.2579853,"Virginia, USA"
75,L197,2020_spr,-20.719336,"Virginia, USA"
76,L198,2020_spr,166.6473654,"Virginia, USA"
77,L199,2020_spr,43.93422277,"Newfoundland,Canada"
78,L200,2020_spr,235.9234234,"Virginia, USA"
